id,réf,nom,epoque,couleur_dominante,couleurs_autres,type,quantite,lieu
431,VET/431,peignoir « chinois » noir avec motifs rouge/bleu/doré,,noir,rouge bleu or,tenue,1,S 509 – P2
432,VET/432,"culotte rouge foncé et jaune oie, fou du roi",,rouge,jaune,pantalon,1,S 509 – P2
433,VET/433,veste rouge et trait noir en cuir ,,rouge,noir,veste,1,S 509 – P2
434,VET/434,pantalon fin beige ,,beige,,pantalon,1,S 509 – P2
435,VET/435,"pantalon bleu/vert et jeune, fou du roi",,bleu,jaune,pantalon,1,S 509 – P3
436,VET/436,robe épaisse orange/violette et décolleté rose,,violet,orange rose,robe,1,S 509 – P3
437,VET/437,robe légère couleur crème  avec bord blanc,,beige,blanc,robe,1,S 509 – P3
438,VET/438,"robe grise, longues manches col blanc ",,gris,blanc,robe,1,S 509 – P3
439,VET/439,tunique homme gris vert avec bords marrons/blancs,,gris,blanc marron,tunique,1,S 509 – P3
440,VET/440,tunique bleue canard et bords blancs,,bleu,blanc,tunique,1,S 509 – P3
441,VET/441,"robe blanche avec longues blanches et sous manches bleues, bords brodés jaune/violet",,blanc,bleu jaune violet,robe,1,S 509 – P3
442,VET/442,"robe bleue avec longues manches et sous manches blanches, bords blancs",,bleu,blanc,robe,1,S 509 – P3
443,VET/443,robe Aliénor jaune et verte ,,jaune,vert,robe,1,S 509 – P3
444,VET/444,cape Aliénor verte et jaune,,vert,jaune,cape,1,S 509 – P3
445,VET/445,robe marron même matière que Aliénor et col marron et vert,,marron,vert jaune,robe,1,S 509 – P3
446,VET/446,robe bordeaux et bords noirs ,,rouge,noir,robe,1,S 509 – P3
447,VET/447,robe légère verte et bords blancs,,vert,blanc,robe,1,S 509 – P3
448,VET/448,cape marron et liseré marron clair,,marron,,cape,1,S 509 – P3
449,VET/449,Veste/robe violette avec ceinture jaune/violette et larges manches et gros bouton d'attache,,violet,jaune,veste,1,S 509 – P3
450,VET/450,robe légère rose avec sous manches violettes et col violet,,orange,violet,robe,1,S 509 – P3
451,VET/451,cape violette simple petite bordure brodée ,,violet,,cape,1,S 509 – P3
452,VET/452,cape rouge avec bordure brodée et attache en bijou,,rouge,blanc gris,cape,1,S 509 – P3
453,VET/453,robe rouge légère avec bordure rouge brodée x2,,rouge,blanc,robe,1,S 509 – P3
454,VET/454,jupe violette plissée ,,violet,,jupe,1,S 509 – P3
455,VET/455,robe multi couche,,blanc,rouge rose,robe,1,S 509 – P3
456,VET/456,robe rose pâle grande manche bordure rouge,,rose,rouge,robe,1,S 509 – P3
457,VET/457,robe bleue et blanche rayée bijoux et cape blanche transparente,,bleu,blanc or,robe,1,S 509 – P3
458,VET/458,robe rouge légère avec bordure jaune brodée ,,rouge,blanc,robe,1,S 509 – P3
459,VET/459,robe verte kaki dégradé bordure marron et blanc et cape blanche à motifs floraux,,blanc,vert,ensemble,1,S 509 – P3
460,VET/460,"robe verte pâle avec longues manches et sous manches jaune et verte à motif, tâche rose à l'aisselle gauche",,vert,blanc,robe,1,S 509 – P3
461,VET/461,robe légère bleue avec col blanc et larges manches,,bleu,blanc,robe,1,S 509 – P3
462,VET/462,robe dorée avec larges manches et col blanc,,or,blanc,robe,1,S 509 – P3
463,VET/463,robe bleue marine à motifs avec décolleté bleu clair et ceinture bleue et dorée à fleur,,bleu,or,robe,1,S 509 – P3
464,VET/464,cape rose avec bordure brodée,,rose,or,cape,1,S 509 – P3
465,VET/465,jupe jaune longue ,,jaune,,jupe,1,S 509 – P3
466,VET/466,robe jaune à bordure noire,,jaune,noir,robe,1,S 509 – P3
467,VET/467,robe crème à bordure noire,,jaune,noir,robe,1,S 509 – P3
468,VET/468,robe verte et blanche à motifs avec bordure verte  ,,vert,noir,robe,1,S 509 – P3
469,VET/469,robe verte foncée à longue manche avec col et ceinture verte et blanche à motifs,,vert,blanc,robe,1,S 509 – P3
470,VET/470,jupe orange droite ,,orange,,jupe,1,S 509 – P3
471,VET/471,pantalon velours marron velours,,marron,,pantalon,1,BPAN3
472,VET/472,pantalon femme beige à rayures ,,beige,,pantalon,1,BPAN3
473,VET/473,pantalon velours marron clair villageois,,marron,,pantalon,1,BPAN3
474,VET/474,pantalon de costume homme ,,gris,,pantalon,1,BPAN3
475,VET/475,pantalon de velours noir velours ,,noir,,pantalon,1,BPAN3
476,VET/476,jeans noir ,,noir,,pantalon,1,BPAN3
477,VET/477,pantalon noir sale ,,noir,,pantalon,1,BPAN3
478,VET/478,pantalon villageois marron à rayures ,,marron,,pantalon,1,BPAN3
479,VET/479,pantalon bleu foncé ,,bleu,,pantalon,1,BPAN3
480,VET/480,pantalon de costume noir ,,noir,,pantalon,1,BPAN4
481,VET/481,pantalon de costume homme noir court,,noir,,pantalon,1,BPAN4
482,VET/482,pantalon de costume noir ,,noir,,pantalon,1,BPAN4
483,VET/483,pantalon paysan gris  ,,gris,,pantalon,1,BPAN4
484,VET/484,blouse écolier noir ,,noir,,tenue,8,BTEN2
485,VET/485,blouse de villageois marchand de vache bleu adulte,,bleu,,tenue,8,BCHA4
486,VET/486,veston rouge enfant ,,rouge,,veste,1,BTEN2
487,VET/487,veston sans manche multicolore 1950,,violet,noir,veste,1,BCHA4
488,VET/488,pull vert kaki laine homme,,vert,,haut,1,BCHA5
489,VET/489,jupe beige orangée boutons or devant,,beige,or,jupe,1,BJU4
490,VET/490,chemise blanche sans manche ,,blanc,,haut,1,BCHA5
491,VET/491,chemise blanche manche courte ,,blanc,,haut,1,BCHA5
492,VET/492,gilet blanc sans manche ,,blanc,,haut,1,BCHA5
493,VET/493,gilet blanc sans manche ,,blanc,,haut,1,BTEN2
494,VET/494,T-shirt noir transparent femme dentelle 1950,,noir,,haut,1,BCHA5
495,VET/495,haut dorée à paillette disco années 70,,or,,haut,1,BCHA5
496,VET/496,pull léger à manche longue noire 70,,noir,,haut,1,BCHA5
497,VET/497,chemise hawaïenne rouge à fleur,,rouge,rose,haut,1,BCHA5
498,VET/498,haut beige sans manche,,beige,,haut,1,BCHA5
499,VET/499,haut beige sans manche avec dentelle,,beige,blanc,haut,1,BCHA5
500,VET/500,chemise légère rouge beige et violet homme ,,rouge,beige violet,haut,1,BCHA5
501,VET/501,pull à col roulé à carreaux et noir ,,bleu,blanc noir,haut,1,BCHA5
502,VET/502,chemise noir et blanche à pois et rayures ,,blanc,noir,haut,1,BCHA5
503,VET/503,T-shirt noir et blanc ,,noir,blanc,haut,1,BCHA5
504,VET/504,chemise blanche taille S boutons devant,,blanc,,haut,1,BCHA5
505,VET/505,chemise blanche boutons devant manche courte,,blanc,,haut,1,BCHA5
506,VET/506,veste blanche froissée,,blanc,,haut,1,BCHA5
507,VET/507,pull long rouge avec rayures ,,rouge,rose,haut,1,BCHA5
508,VET/508,chemise blanche à manches longue et points argenté,,blanc,gris,haut,1,BCHA5
509,VET/509,Chemise noir à manche courte ,,noir,,haut,1,BCHA5
510,VET/510,chemise blanche à manche longue ,,blanc,,haut,1,BCHA5
511,VET/511,chemise bleu avec petits carreaux noir manche longue ,,bleu,noir,haut,1,BCHA5
512,VET/512,T-shirt blanc à manche courtes,,blanc,,haut,1,BCHA5
513,VET/513,chemise blanche à manche moyennes motif floral,,blanc,,haut,1,BCHA5
514,VET/514,T-shirt à bretelle ,,blanc,noir,haut,1,BCHA5
515,VET/515,chemise blanche à dentelle,,blanc,blanc,haut,1,BCHA5
516,VET/516,chemise longue bleu clair à pois blancs ,,bleu,blanc,haut,1,BCHA5
517,VET/517,chemise blanche brillante 1950,,blanc,,haut,1,BCHA5
518,VET/518,chemise blanche taille 42,,blanc,,haut,1,BCHA5
519,VET/519,chemise à carreaux blanche et noire,,blanc,bleu,haut,1,BCHA5
520,VET/520,chemise blanche à manche longue ,,blanc,,haut,1,BCHA5
521,VET/521,chemise de nuit courte à dentelle ,,blanc,,haut,1,BCHA5
522,VET/522,chemise rose à carreaux avec dentelle ,,rose,blanc,haut,1,BCHA5
523,VET/523,pyjama beige et bordure noir taille XXL homme 1950 taché rouge,,beige,noir,ensemble,1,BCHA5
524,VET/524,chemise petite blanche 1950,,blanc,,haut,1,BCHA5
525,VET/525,jupe légère rouge foncé avec motifs ,,rouge,,jupe,1,BJU4
526,VET/526,Ensemble 1950 violet et blanc à fleurs ,,violet,blanc,ensemble,1,BCHA5
527,VET/527,ensemble twist bleu à carreaux et blanc avec nœud cheveux,,bleu,blanc noir,ensemble,1,BCHA5
528,VET/528,robe très courte noire à manche longue ,,noir,,robe,1,BCHA5
529,VET/529,haut blanc transparent haut blanc transparent avec motifs fleurs ,,blanc,gris,haut,1,BCHA5
530,VET/530,chemisier bleu foncé ,,bleu,rouge,haut,1,BCHA5
531,VET/531,chemise bleu foncé avec fleurs blanches ,,bleu,blanc,haut,1,BCHA5
532,VET/532,jupe bleu et orange ,,bleu,orange,jupe,1,BJU4
533,VET/533,jupe plissée noire ,,noir,,jupe,1,BJU4
534,VET/534,culotte french cancan jaune,,blanc,jaune,autre,1,BCAN3
535,VET/535,culotte french cancan rouge ,,blanc,rouge,autre,1,BCAN3
536,VET/536,jupe violette ,,violet,,jupe,1,BMA4
537,VET/537,pantalon noir et blanc type pirate,,noir,blanc,pantalon,1,BMA4
538,VET/538,jupe verte foncé,,vert,,jupe,1,BMA4
539,VET/539,pantalon blanc,,blanc,,pantalon,1,BMA4
540,VET/540,pantalon patte d’éléphant bleu,,bleu,,pantalon,2,BMA4
541,VET/541,jupe tablier rose délavé,,rose,,jupe,1,BMA4
542,VET/542,pantalon patte d’éléphant rose saumon,,rose,,pantalon,1,BMA4
543,VET/543,pantacourt villageois à rayures jaunes et vertes,,jaune,vert,pantalon,1,BMA4
544,VET/544,pantalon patte d’éléphant marron,,marron,,pantalon,1,BMA4
545,VET/545,haut enfant villageois sans manches beige sale,,beige,,haut,1,BTEN1
