id,réf,nom,epoque,epoque2,sexe,couleur_dominante,couleurs_autres,type,voile,quantite,lieu,bijoux
192,COI/192,Chapeau paille beige et noir avec fleurs,,,,beige,noir rose vert blanc,,non,1,BCHA1,sans_bijoux
193,COI/193,Chapeau paille beige et vert avec fleurs,,,,beige,vert rose,,non,1,BCHA1,sans_bijoux
194,COI/194,Chapeau paille avec ruban jaune et fleurs multicolores ,,,,beige,jaune blanc rose bleu,,non,1,BCHA1,sans_bijoux
195,COI/195,Chapeau paille beige et noir violet ,,,,beige,noir blanc violet,,non,1,BCHA1,sans_bijoux
196,COI/196,Chapeau paille avec ruban jaune ,,,,beige,jaune,,non,1,BCHA1,sans_bijoux
197,COI/197,Chapeau paille beige et bleu avec citrons ,,,,beige,bleu,,non,1,BCHA1,sans_bijoux
198,COI/198,Chapeau paille noir avec fleur en tissu et filet blanche ,,,,noir,blanc,,non,1,BCHA1,sans_bijoux
199,COI/199,Chapeau noir avec traine noir enterrement,,,,noir,,,oui,1,BCHA1,sans_bijoux
200,COI/200,Chapeau paille noir  avec rubans noir et blanc,,,,noir,blanc,,non,1,BCHA1,sans_bijoux
201,COI/201,Chapeau paille rouge ,,,,rouge ,,,non,1,BCHA1,sans_bijoux
202,COI/202,Chapeau paille beige sans décor,,,,beige,,,non,1,BCHA1,sans_bijoux
203,COI/203,Chapeau paille beige et rouge à fleurs avec bandeau rouge à fleur ,,,,beige,rouge,,non,1,BCHA1,sans_bijoux
204,COI/204,Chapeau paille beige et multicolore avec bandeau vert clair ,,,,beige,vert,,non,1,BCHA1,sans_bijoux
205,COI/205,Chapeau paille avec bandeau noir gris violet,,,,beige,violet,,non,1,BCHA1,sans_bijoux
206,COI/206,Chapeau paille beige et bleu vert avec fleurs et bonbons ,,,,beige,bleu jaune rouge,,non,1,BCHA1,sans_bijoux
207,COI/207,Chapeau paille beige recouvert de filet noir et ruban rouge bordeaux ,,,,beige,noir rouge,,non,1,BCHA1,sans_bijoux
208,COI/208,Chapeau paille beige avec ruban marron et à fleurs,,,,beige,marron noir jaune rouge,,non,1,BCHA1,sans_bijoux
209,COI/209,Chapeau paille beige avec ruban vert et blanc,,,,beige,vert blanc,,non,1,BCHA1,sans_bijoux
210,COI/210,Chapeau paille recouvert de gris et marron élégant,,,,gris,marron,,non,1,BCHA1,sans_bijoux
211,COI/211,Képi gendarme bleu,,,,bleu,,,non,12,BGEN2,sans_bijoux
212,COI/212,Képi gendarme gradé noir et or,,,,noir,or,,non,1,BGEN2,sans_bijoux
213,COI/213,Képi gendarme gradé rouge et or,,,,rouge,or noir,,non,1,BGEN2,sans_bijoux
214,COI/214,Képi gendarme noir et bleu foncé souple,,,,bleu,noir,,non,1,BGEN2,sans_bijoux
215,COI/215,Coiffe femme avec nœud bleu vert,,,,bleu,,,non,1,BCOI12,sans_bijoux
216,COI/216,Chapeau homme avec ruban gris foncé ,,,,gris,,,non,1,BCD1,sans_bijoux
217,COI/217,Chapeau femme fourrure et tissu marron ,,,,marron,,,non,1,BCD1,sans_bijoux
218,COI/218,Coiffe femme noire avec élastique ,,,,noir,,,non,1,BCD1,sans_bijoux
219,COI/219,Coiffe fourrure marron avec bouton devant ,,,,marron,,,non,1,BCD1,sans_bijoux
220,COI/220,Coiffe femme blanche avec élastique et bouton et décoration sur le coté,,,,blanc,,,non,1,BCD1,sans_bijoux
221,COI/221,Chapeau femme bleu marine avec ruban bleu foncé,,,,bleu,,,non,1,BCD1,sans_bijoux
222,COI/222,Coiffe à trou noir ,,,,noir,,,non,1,BCD1,sans_bijoux
223,COI/223,Chapeau femme fourrure noir ,,,,noir,,,non,1,BCD1,sans_bijoux
224,COI/224,Coiffe de chasse homme marron type beret avec élastique ,,,,marron,,,non,1,BCD1,sans_bijoux
225,COI/225,Coiffe homme type russe vert kaki,,,,vert,,,non,1,BCD1,sans_bijoux
226,COI/226,Casquette homme noir avec élastique,,,,noir,,,non,1,BCD1,sans_bijoux
227,COI/227,Chapeau femme fin noir et petit,,,,noir,,,non,1,BCD1,sans_bijoux
228,COI/228,Chapeau femme bleu élavé avec ruban bleu clair ,,,,bleu,,,non,1,BCD1,sans_bijoux
229,COI/229,Chapeau noir bords remontés ,,,,noir,,,non,1,BCD1,sans_bijoux
230,COI/230,Chapeau noir bord remontés élastique cassé,,,,noir,,,non,1,BCD1,sans_bijoux
231,COI/231,Animal mort marron,,,,marron,,,non,1,BCD1,sans_bijoux
232,COI/232,Chapeau femme rond en laine marron ,,,,marron,,,non,1,BCD1,sans_bijoux
233,COI/233,Beret femme noir ,,,,noir,,,non,1,BCD1,sans_bijoux
234,COI/234,Beret homme gris ,,,,gris,,,non,1,BCD1,sans_bijoux
235,COI/235,Chapeau femme marron clair avec nœud marron devant ,,,,marron,,,non,1,BCD1,sans_bijoux
236,COI/236,Chapeau marron classique type cow-boy,,,,marron,,,non,1,BCD1,sans_bijoux
237,COI/237,Canotier en osier,,,,jaune,noir,,non,69,BCANO,sans_bijoux
238,COI/238,Canotier en plastique ,,,,jaune,noir,,non,1,BCANO,sans_bijoux
239,COI/239,Chapeau de paille jaune et rose ,,,,jaune,rose,,non,1,BCD1,sans_bijoux
240,COI/240,Chapeau femme mariage blanc à dentelle et fleur marron,,,,blanc,marron,,non,1,BCD1,sans_bijoux
241,COI/241,Chapeau femme gris avec perles nacrées ,,,,gris,,,non,1,BCD1,sans_bijoux
242,COI/242,Chapeau de paille bleu foncé avec filet bleu et fleur bleu ,,,,bleu,,,non,1,BCD1,sans_bijoux
243,COI/243,Chapeau femme doré,,,,or,,,non,1,BCD1,sans_bijoux
244,COI/244,Chapeau de paille marron avec tissu noir et blanc,,,,marron,noir blanc,,non,1,BCD1,sans_bijoux
245,COI/245,Chapeau beige et vert ,,,,beige,vert,,non,1,BCD1,sans_bijoux
246,COI/246,Chapeau vert foncé et marron,,,,vert,marron,,non,1,BCOI10,sans_bijoux
247,COI/247,Chapeau de paille avec tissu marron,,,,beige,marron blanc,,non,1,BCOI10,sans_bijoux
248,COI/248,Chapeau rose avec tissu rouge bordeaux et blanc,,,,rose,violet,,non,1,BCOI10,sans_bijoux
249,COI/249,Chapeau gris à fleur rouge bordeaux,,,,gris,rouge,,non,1,BCOI10,sans_bijoux
250,COI/250,Coiffe femme marron avec élastique et fleur noire ,,,,marron,noir,,non,1,BCOI10,sans_bijoux
251,COI/251,Chapeau vert à carreau et tissu vert foncé,,,,vert,beige,,non,1,BCOI10,sans_bijoux
252,COI/252,Coiffe gendarme bleu marine rouge ,,,,bleu,rouge,,non,3,BCOI10,sans_bijoux
253,COI/253,Coiffe gendarme bleu marine rigide,,,,bleu,noir jaune,,non,1,BCOI10,sans_bijoux
254,COI/254,Coiffe gendarme rouge et noir,,,,rouge,noir or,,non,2,BCOI10,sans_bijoux
255,COI/255,Voile jaune,,,,jaune,,,non,1,BCOI10,sans_bijoux
256,COI/256,capeline noire avec raisins 1900,,,,noir,violet,,non,1,BCOI14,sans_bijoux
257,COI/257,capeline noire avec fleur blanche 1900,,,,noir,blanc,,non,1,BCOI14,sans_bijoux
258,COI/258,chapeau melon noir avec elastique 1900,,,,noir,,,non,1,BCOI14,sans_bijoux
259,COI/259,chapeau melon noir authentique abimé 1900,,,,noir,,,non,1,BCOI14,sans_bijoux
260,COI/260,chapeau melon noir récent 1900,,,,noir,,,non,2,BCOI14,sans_bijoux
261,COI/261,chapeau de paille élégant avec ruban bleu jeune fille,,,,jaune,bleu,,non,1,BCOI15,sans_bijoux
262,COI/262,chapeau de sherlock holmes,,,,gris,,,non,1,BCOI15,sans_bijoux
263,COI/263,chapeau gris pure feutre garanti,,,,gris,,,non,1,BCOI15,sans_bijoux
264,COI/264,chapeau noir ,,,,noir,,,non,1,BCOI15,sans_bijoux
265,COI/265,tete pour chauve ,,,,beige,,,non,1,BCOI15,sans_bijoux
266,COI/266,béret beige rouge noir ,,,,beige,noir marron,,non,1,BCOI15,sans_bijoux
267,COI/267,chapeau claque marron 1900,,,,noir,,,non,1,BCOI15,sans_bijoux
268,COI/268,chapeau melon marron,,,,marron,,,non,1,BCOI15,sans_bijoux
269,COI/269,beret vert et gris ,,,,gris,vert,,non,1,BCOI15,sans_bijoux
270,COI/270,chapeau melon noir très abimé 1900,,,,noir,,,non,1,BCOI15,sans_bijoux
271,COI/271,chapeau melon noir pas authentique 1900,,,,noir,,,non,1,BCOI15,sans_bijoux
272,COI/272,chapeau femme elegant blanc,,,,marron,noir,,non,1,BCOI15,sans_bijoux
273,COI/273,chapeau de femme ,,,,jaune,blanc,,non,1,BCOI15,sans_bijoux
274,COI/274,Chapeau de paille avec ruban vert ,,,,jaune,vert,,non,1,BCOI15,sans_bijoux
275,COI/275,chapeau de paille femme avec ruban rouge ,,,,jaune,rouge,,non,1,BCOI15,sans_bijoux
276,COI/276,chapeau de femme ruban bleu et fleur blanche,,,,jaune,bleu blanc,,non,1,BCOI14,sans_bijoux
277,COI/277,chapeau femme rouge et noir,,,,jaune,rouge noir,,non,1,BCOI14,sans_bijoux
278,COI/278,chapeau de paille femme ruban noir et blanc,,,,jaune,noir blanc,,non,1,BCOI14,sans_bijoux
279,COI/279,chapeau de femme rose,,,,jaune,rose blanc,,non,1,BCOI14,sans_bijoux
